Setup title,QSCV[2]
Application test name,QSCV[2]
Test date,12/10/2025
Test time,11:26:19
Device ID,MOSCAP_4_C
Count,2
Flags,
Remarks,
Name,IMeasSMU,MeasRange,LeakCompen,HoldTime,DelayTime,Integ_C,Integ_L,Gate,Vstart,Vstop,Vstep,QSCVMeasV,I_Comp,Subs,IOffsetCancel,IOffsetSink,OutputRange,SwpMode,StepDelay,VCompSinkSMU,Cmin,Cmax,IgMin,IgMax
Value,"Gate SMU",-11,1,1,0,0.1,0.1,"SMU4:HR	HRSMU",3.2,-3.2,-0.2,0.2,0.01,"SMU3:HR	HRSMU",Disable,"SMU5:HR	HRSMU",0,0,0,5,0,1E-10,-1E-09,1E-09
Name,Polarity,Lg,Wg,Temp
Value,1,0.0005,0.0005,25
V,F,A
3,6.19219E-13,1.000038E-09
2.8,7.5725E-14,1.000036E-09
2.6,1.40214E-12,1.000037E-09
2.4,1.042E-15,1.000036E-09
2.2,3.13385E-13,1.000036E-09
2,7.1429E-14,1.000035E-09
1.8,-3.77221E-13,1.000036E-09
1.6,9.4744E-14,1.000036E-09
1.4,-1.95864E-13,1.000034E-09
1.2,0,1.000035E-09
1,4.5878E-14,1.000035E-09
0.8,-1.15606E-13,1.000035E-09
0.6,0,1.000035E-09
0.4,5.9485E-14,1.000034E-09
0.2,5.20541E-13,1.000033E-09
0,6.41344E-11,-9.47638E-10
-0.2,0,-9.99989E-10
-0.4,-1.2195E-13,-9.99989E-10
-0.6,5.76714E-12,-9.9999E-10
-0.8,1,2.146483657E-06
-1,-3.92156E-13,-9.99989E-10
-1.2,1.55496E-13,-9.99989E-10
-1.4,-1.78454E-12,-9.99987E-10
-1.6,8.4875E-13,-9.99989E-10
-1.8,8.043E-15,-9.99988E-10
-2,2.63158E-13,-9.99988E-10
-2.2,0,-9.99989E-10
-2.4,3.34567E-11,-9.99993E-10
-2.6,3.91321E-13,-9.99989E-10
-2.8,0,-9.99989E-10
-3,2.33118E-12,-9.99988E-10
